"ISO3","year","co2","co2_per_capita","gdp","gdp_per_capita","pop","ISO2","region1","region2","accumulated_co2"
"ABW",1821,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1822,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1823,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1824,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1825,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1826,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1827,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1828,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1829,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1830,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1831,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1832,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1833,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1834,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1835,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1836,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1837,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1838,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1839,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1840,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1841,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1842,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1843,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1844,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1845,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1846,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1847,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1848,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1849,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1850,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1851,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1852,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1853,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1854,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1855,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1856,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1857,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1858,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1859,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1860,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
"ABW",1861,NA,NA,NA,NA,NA,"AW","Latin America and the Caribbean","Developing",NA
