"ISO3","ISO2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","region"
"AFG","AF",1970,1670400,10752971,10576.159,983.556916502425,0.155343114010072,"Asia and Oceania"
"ALB","AL",1970,3739500,2324731,3233.191,1390.78069677739,1.60857320696459,"Europe"
"DZA","DZ",1970,15059000,13795915,34858.472,2526.72417886019,1.09155500015766,"Africa"
"AGO","AO",1970,3577900,6029700,26647.76,4419.41721810372,0.593379438446357,"Africa"
"ATG","AG",1970,461660,64517,283.351,4391.88120960367,7.15563339894912,"America"
"ARG","AR",1970,82648000,23842803,246484.664,10337.9063275404,3.46637096317912,"America"
"ABW","AW",1970,928760,59106,270.577,4577.82627821203,15.7134639461307,"America"
"AUS","AU",1970,147861000,12595034,313052.283,24855.2153967985,11.7396269037464,"Asia and Oceania"
"AUT","AT",1970,50631700,7465301,135119.011,18099.6065664332,6.78227173961237,"Europe"
"BHS","BS",1970,2568800,179129,4596.293,25659.1227551094,14.3405032127685,"America"
"BHR","BH",1970,2590400,222555,4716.414,21192.1277886365,11.6393700433601,"Asia and Oceania"
"BGD","BD",1970,3803200,67541860,32654.188,483.465927648424,0.056308783915634,"Asia and Oceania"
"BRB","BB",1970,428690,241397,2635.985,10919.7090270384,1.77587128257601,"America"
"BEL","BE",1970,125490500,9629376,172590.177,17923.2981451758,13.0320490133525,"Europe"
"BLZ","BZ",1970,120910,120905,259.185,2143.70786981514,1.00004135478268,"America"
"BEN","BJ",1970,282130,3023443,1321.475,437.076207489276,0.0933141454957147,"Africa"
"BMU","BM",1970,227170,52019,3020.199,58059.5359387916,4.36705819027663,"America"
"BTN","BT",1970,3664,298894,102.292,342.235039846902,0.0122585264341205,"Asia and Oceania"
"BOL","BO",1970,2483700,4585693,8040.84,1753.46234473176,0.541619336488509,"America"
"BRA","BR",1970,93488200,96369875,346859.226,3599.24951651125,0.970097761359554,"America"
"VGB","VG",1970,18320,9581,74.397,7765.0558396827,1.91211773301326,"America"
"BRN","BN",1970,8203700,133343,4971.994,37287.2516742536,61.5232895615068,"Asia and Oceania"
"BGR","BG",1970,61174000,8582950,15473.189,1802.78214366855,7.1273862716199,"Europe"
"BFA","BF",1970,142900,5611666,1449.328,258.270538553079,0.0254648084900277,"Africa"
"BDI","BI",1970,62288,3497834,1033.921,295.588927319021,0.017807591783944,"Africa"
"KHM","KH",1970,1172300,6708525,3776.897,562.999616160035,0.174747802236706,"Asia and Oceania"
"CMR","CM",1970,637420,6452787,5979.148,926.599312824056,0.0987821231353212,"Africa"
"CAN","CA",1970,341177200,21434577,458105.081,21372.2473272974,15.9171417285258,"America"
"CPV","CV",1970,36581,287262,258.843,901.069407022161,0.12734367928929,"Africa"
"CAF","CF",1970,208850,2067356,1426.987,690.247349754953,0.101022755635701,"Africa"
"TCD","TD",1970,124580,3667394,2013.607,549.056632584336,0.0339696252979636,"Africa"
"CHL","CL",1970,24635800,9820481,42173.767,4294.47060688779,2.50861439475317,"America"
"CHN","CN",1970,807952600,822534450,231210.321,281.094999729191,0.982272049517196,"Asia and Oceania"
"COL","CO",1970,28370100,20905254,50611.192,2420.97952983494,1.35707989962715,"America"
"COM","KM",1970,29312,242351,265.643,1096.10853679168,0.120948541578124,"Africa"
"COG","CG",1970,571580,1396989,2134.772,1528.12370032978,0.409151396324524,"Africa"
"COK","CK",1970,10992,20470,111.41,5442.59892525647,0.536980947728383,"Asia and Oceania"
"CRI","CR",1970,1248700,1855697,8579.749,4623.4643910078,0.672900802232261,"America"
"CUB","CU",1970,18654100,8869636,23140.632,2608.9720029097,2.10314154943901,"America"
"CYP","CY",1970,1702700,640804,3736.265,5830.58938458561,2.65713072952104,"Europe"
"DNK","DK",1970,62039300,4922963,132721.367,26959.6515350613,12.6020244312216,"Europe"
"DJI","DJ",1970,139230,144379,519.488,3598.08559416536,0.964336918803981,"Africa"
"DMA","DM",1970,25648,68895,139.946,2031.29399811307,0.372276652877567,"America"
"DOM","DO",1970,3105100,4475871,7635.573,1705.94125702014,0.693742067186476,"America"
"ECU","EC",1970,4278200,6172215,17347.894,2810.6431807706,0.693138524824557,"America"
"EGY","EG",1970,21654000,34781986,28220.9,811.365400469082,0.622563645445663,"Africa"
"SLV","SV",1970,1428300,3619090,9237.173,2552.34686067492,0.394657220461497,"America"
"GNQ","GQ",1970,36640,316955,277.69,876.118060923475,0.115600006310044,"Africa"
