"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita"
"Africa",1970,289404131,279012856,421430.505,1510.43400308407,1.03724299714706
"Africa",1971,317158050,286044924,441214.693,1542.4664309023,1.10877006857846
"Africa",1972,337197004,293815189,466611.011,1588.11058266971,1.14765000797831
"Africa",1973,361582211,301310490,485599.356,1611.62446086759,1.20003193715559
"Africa",1974,372064294,309261023,522666.398,1690.04937295315,1.20307528698823
"Africa",1975,372320654,317763212,533221.236,1678.04583999484,1.17169212778476
"Africa",1976,405063850,326714112,567743.13,1737.73678316044,1.2398113063448
"Africa",1977,418729902,335901397,593939.864,1768.19706409259,1.2465857711214
"Africa",1978,447147838,345579529,606309.852,1754.47270778588,1.29390719205477
"Africa",1979,482430708,355908336,626036.535,1758.98250104488,1.3554914544064
"Africa",1980,519194304,366652827,650068.694,1772.98154038234,1.41603791316192
"Africa",1981,533342510,377282521,650775.181,1724.90148569591,1.4136422450379
"Africa",1982,555682356,388122272,657760.562,1694.72511487308,1.43171983698993
"Africa",1983,578114328,399258053,656020.57,1643.09915622416,1.4479716154905
"Africa",1984,632765766,410564042,677948.712,1651.26178293032,1.54121087399076
"Africa",1985,646890976,422375066,702863.396,1664.07407202394,1.53155578553967
"Africa",1986,672062326,434542049,705713.57,1624.03977158031,1.54659906341998
"Africa",1987,670271654,446895830,716225.633,1602.66797074388,1.49983868500183
"Africa",1988,702161910,459210718,751311.99,1636.09419499655,1.52906254683716
"Africa",1989,676472426,471664640,777696.983,1648.83461054023,1.43422332019632
"Africa",1990,638941882,485877610,808748.74,1664.51123360058,1.31502639522739
"Africa",1991,670145736,499326111,835715.684,1673.68712668823,1.34210032529222
"Africa",1992,653613510,563534708,859807.461,1525.74002771095,1.15984605867435
"Africa",1993,693472338,577598094,859937.282,1488.8159966816,1.2006139653224
"Africa",1994,777152412,592691324,877564.219,1480.64293075429,1.31122623283077
"Africa",1995,828483886,606527795,900928.551,1485.38708106526,1.36594545679477
"Africa",1996,854333380,622300388,948637.521,1524.40451475341,1.37286332529171
"Africa",1997,875395864,638108188,981223.06,1537.70642416518,1.37186119918587
"Africa",1998,895712282,653637737,1009863.48,1544.98956047882,1.37034970794534
"Africa",1999,883754056,669351022,1039280.436,1552.66878191156,1.32031479291594
"Africa",2000,913385322,685438114,1079834.032,1575.39245330031,1.33255694911649
"Africa",2001,900664976,702104621,1124161.639,1601.13123511261,1.28280736098445
"Africa",2002,878307784,719374872,1189156.428,1653.0413756237,1.22093197606157
"Africa",2003,968226682,737201187,1250254.807,1695.94790275344,1.3133818814646
"Africa",2004,1019433870,755572261,1325513.765,1754.3176654549,1.34922087882207
"Africa",2005,1036520444,774369380,1406586.951,1816.42893860292,1.33853490436308
"Africa",2006,1064528372,793644686,1490458.451,1877.99210061113,1.34131607100561
"Africa",2007,1093028932,813598888,1583720.454,1946.56172391425,1.34344939271844
"Africa",2008,1144921542,834263803,1667586.05,1998.87139296154,1.37237350809526
"Africa",2009,1143225310,855624336,1729242.001,2021.02947314953,1.33612996019318
"Africa",2010,1183138790,877636682,1829453.071,2084.52211321769,1.34809632991161
"Africa",2011,1222033568,899831249,1863930.025,2071.42175499175,1.35806971513611
"Africa",2012,1234386660,957723857,2050143.078,2140.64112845839,1.28887533810281
"Africa",2013,1240726860,982285569,2123646.505,2161.94411484834,1.26310199310278
"Africa",2014,1319215330,1007602070,2203059.103,2186.43765092702,1.30926222690273
"Africa",2015,1295309250,1033447811,2271159.043,2197.65238149989,1.25338622445444
"Africa",2016,1329019330,1059301225,2311748.428,2182.33338491608,1.25461889275168
"Africa",2017,1341905720,1085548533,2391194.113,2202.75191786381,1.23615451470561
"Africa",2018,1329762150,1112436316,2466564.358,2217.26342670028,1.19536024748045
"Africa",2019,1427902200,1139532248,2525982.74,2216.68385816493,1.25305993095511
"Africa",2020,1325827670,1166876657,2457881.159,2106.37614888889,1.13621920709997
"Africa",2021,1402265080,1194114345,2589791.084,2168.79656026576,1.17431390542419
"Africa",2022,1383869740,1221273128,2676179.695,2191.30318488429,1.13313697671075
"Developing America",1970,500370396,281278459,1303305.116,4633.50489274403,1.77891473729952
"Developing America",1971,527181348,288265079,1384763.38,4803.78471372178,1.82880753308312
"Developing America",1972,552988214,295354939,1479414.782,5008.93869257422,1.87228361872764
"Developing America",1973,603368934,302566194,1600055.642,5288.28294016218,1.9941716753723
"Developing America",1974,638558882,309884931,1701379.451,5490.35877772321,2.06063224803919
"Developing America",1975,649185264,317285486,1765832.88,5565.4385653178,2.0460603861344
"Developing America",1976,681050802,324748855,1870258.183,5759.09092273782,2.09716151886047
"Developing America",1977,711829622,332387032,1963186.117,5906.32584306117,2.14156857358984
"Developing America",1978,768313672,340230740,2044737.192,6009.85434767006,2.25821356412416
"Developing America",1979,821535720,348155157,2173256.696,6242.20739605474,2.3596827548931
"Developing America",1980,862972870,356069173,2298830.085,6456.13341259396,2.42361017307162
"Developing America",1981,857639796,365896939,2326697.24,6358.88686677425,2.34393815467256
"Developing America",1982,879979748,373701576,2313006.43,6189.44788715582,2.35476595367636
"Developing America",1983,843924700,381641457,2258990.837,5919.14425324081,2.21130247912244
"Developing America",1984,849391432,389639453,2338883.664,6002.68696096337,2.17994206043606
"Developing America",1985,874127228,397624433,2404432.232,6046.99317358096,2.19837403201025
"Developing America",1986,906010032,405589196,2497306.529,6157.23138986177,2.23381204661083
"Developing America",1987,951275696,413553701,2577363.326,6232.23373353392,2.30024708689525
"Developing America",1988,973744492,421569432,2598000.125,6162.68620965858,2.30980810771878
"Developing America",1989,993839114,429607360,2622598.185,6104.639792484,2.31336612575725
"Developing America",1990,1002946146,437782952,2629351.614,6006.06214104016,2.29096665691998
"Developing America",1991,1023581688,446002348,2727845.635,6116.21361912651,2.29501412400636
"Developing America",1992,1037594470,454135788,2811096.278,6189.99064218211,2.28476701774492
"Developing America",1993,1076083664,462241498,2921876.937,6321.10476805352,2.32796853734668
"Developing America",1994,1096629220,470340786,3057508.907,6500.62464920914,2.33156309774079
"Developing America",1995,1115890640,478395645,3087706.534,6454.294821183,2.3325685583948
"Developing America",1996,1162845272,486342923,3202384.74,6584.62288347105,2.39099864932136
"Developing America",1997,1237169024,494222786,3376749.05,6832.44307153414,2.50326180630611
"Developing America",1998,1320317814,502033809,3464693.901,6901.31588528134,2.62993804467061
"Developing America",1999,1314934528,509736739,3462660.927,6793.03778219525,2.57963459840002
"Developing America",2000,1328041052,517290573,3585877.488,6932.03718599372,2.5673018634345
"Developing America",2001,1328668640,524683544,3603030.251,6867.05404086392,2.53232382679797
"Developing America",2002,1364377834,531928237,3593190.158,6755.02804337872,2.5649659843119
"Developing America",2003,1397578766,538974338,3661010.159,6792.55003602787,2.59303396741683
"Developing America",2004,1433248022,545904549,3887230.422,7120.71447127655,2.62545535593256
"Developing America",2005,1491434354,552760212,4065951.78,7355.72440224768,2.6981579383286
"Developing America",2006,1540342294,559469628,4298281.435,7682.77886748841,2.75321879313885
"Developing America",2007,1578306194,566055372,4541155.102,8022.45738955729,2.78825406854367
"Developing America",2008,1621214442,572508105,4718076.773,8241.06546578934,2.83177552918661
"Developing America",2009,1580336848,578896498,4604401.428,7953.75588539145,2.72991260693375
"Developing America",2010,1696564914,585383903,4880908.799,8337.96210313627,2.89820903052744
"Developing America",2011,1738983690,592036368,5101520.926,8616.9046392096,2.93729200433173
"Developing America",2012,1809971624,598700994,5242854.326,8757.04964338175,3.02316455482618
"Developing America",2013,1869074842,605239569,5386583.047,8899.91884684592,3.08815705008871
"Developing America",2014,1879874722,611696734,5440081.598,8893.42920375965,3.07321359999284
"Developing America",2015,1846869750,618094800,5442017.428,8804.50284972467,2.98800402462535
"Developing America",2016,1800051502,624418668,5367020.553,8595.2275741378,2.88276375170769
"Developing America",2017,1766123422,630586621,5420239.595,8595.55121293955,2.8007625965791
"Developing America",2018,1705138422,636470764,5458239.235,8575.78940578015,2.67905223373308
"Developing America",2019,1711241794,642026142,5440350.167,8473.72063394889,2.66537712727592
"Developing America",2020,1555398654,647033757,5043779.575,7795.23405144378,2.40389104459043
"Developing America",2021,1714292584,651303886,5399239.038,8289.89225161786,2.63209328371795
"Developing America",2022,1756235040,655471778,5614517.802,8565.61333446152,2.6793450136918
