"ISO3","year","co2","co2_per_capita","gdp","gdp_per_capita","pop","ISO2","region1","region2","accumulated_co2"
"ABW",1990,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1991,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1992,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1993,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1994,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1995,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1996,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1997,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1998,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",1999,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2000,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2001,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2002,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2003,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2004,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2005,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2006,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2007,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2008,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2009,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2010,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2011,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2012,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2013,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2014,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2015,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2016,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2017,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2018,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2019,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"ABW",2020,NA,NA,NA,NA,NA,"AW","Latin America and the Carribean","Developing",NA
"AFG",1990,NA,NA,NA,NA,NA,"AF","Developing Asia and Oceania","LDCs",NA
"AFG",1991,NA,NA,NA,NA,NA,"AF","Developing Asia and Oceania","LDCs",NA
"AFG",1992,NA,NA,NA,NA,NA,"AF","Developing Asia and Oceania","LDCs",NA
"AFG",1993,NA,NA,NA,NA,NA,"AF","Developing Asia and Oceania","LDCs",NA
"AFG",1994,NA,NA,NA,NA,NA,"AF","Developing Asia and Oceania","LDCs",NA
